CODE_GENDER_M,EXT_SOURCE_3,EXT_SOURCE_2,NAME_EDUCATION_TYPE_Secondary_or_secondary_special,NAME_EDUCATION_TYPE_Higher_education,NAME_CONTRACT_TYPE_Cash_loans,NAME_INCOME_TYPE_Working
0,0.7700870700124128,0.6076973714617412,0,1,1,0
0,0.4258928980051529,0.7318427244611323,1,0,1,1
0,0.6430255641096323,0.5267695171272786,1,0,1,1
0,0.375711009574066,0.5441845825346238,0,1,1,1
1,0.7076993447402619,0.6858502578599447,0,1,1,1
0,0.8193176922872417,0.6171851010475676,1,0,1,0
1,0.622922000268356,0.60013911887132,1,0,1,1
1,0.5108529061799658,0.610534922277132,1,0,1,1
1,0.7958031328748403,0.4588311704272817,1,0,1,0
1,0.8564128001975257,0.3618694395026761,0,0,1,1
0,0.6706517530862718,0.6086405681519499,1,0,1,1
0,0.5108529061799658,0.5832298939441198,1,0,1,0
0,0.6940926425266661,0.5798614098021754,1,0,0,1
0,0.7435593141311444,0.6656009534878319,1,0,1,1
1,0.5280927512030451,0.6236685266893361,0,1,1,1
0,0.6925590674998008,0.6957609870547558,0,1,1,0
0,0.4920600938649263,0.5852801912265109,1,0,1,1
1,0.5064842396679806,0.6007476868238458,1,0,1,1
1,0.375711009574066,0.6248995140748833,0,1,1,0
1,0.5460231970049609,0.5903029818845716,0,1,0,0
1,0.8150073858059296,0.7704277525898338,1,0,1,1
0,0.5460231970049609,0.398736790340824,1,0,1,1
0,0.7194907850918436,0.4857098443600888,1,0,1,1
0,0.470456116119975,0.4073704422562672,1,0,0,1
1,0.4507472818545589,0.7199837382073645,1,0,1,1
1,0.5797274227921155,0.4661589471370261,1,0,1,1
0,0.5108529061799658,0.4047387743382484,1,0,1,1
1,0.7324033228040929,0.6284193589970566,1,0,1,1
0,0.5108529061799658,0.5511942707630505,1,0,1,1
0,0.656158373001177,0.2620553359511834,1,0,1,1
0,0.6971469077844458,0.6111535104579731,0,1,1,0
0,0.6313545365850379,0.7313360257819522,1,0,1,0
0,0.6397075677637197,0.656719562188265,1,0,1,0
1,0.8406665596573005,0.5548159107161412,1,0,1,1
1,0.5762088360175724,0.6057563491039856,1,0,1,1
0,0.5726825047161584,0.1729161805866733,0,1,1,1
1,0.5673792367572691,0.6261749586899528,1,0,1,1
0,0.6092756673894402,0.1330618459843734,0,1,1,0
1,0.5108529061799658,0.7075337372482275,1,0,1,0
0,0.7194907850918436,0.6985910205673578,1,0,1,1
0,0.6817058776720116,0.6585806071845428,1,0,1,1
0,0.6769925032909132,0.5498577372252724,1,0,1,1
1,0.2044226253763287,0.556910584966803,0,1,0,1
0,0.3409064264152384,0.6119431193453184,1,0,1,1
0,0.7503751495159068,0.7535990197878941,0,0,1,1
0,0.6817058776720116,0.6293380212653933,0,1,1,1
0,0.4471785780453068,0.4296481102111682,0,1,0,0
1,0.7738956942145427,0.5245394469861188,1,0,1,1
0,0.7570690154522959,0.7099217308666772,1,0,1,0
1,0.5726825047161584,0.5496899429045514,1,0,1,1
0,0.5531646987710016,0.4239293632690141,1,0,1,0
0,0.3392876999089139,0.5732628679621176,1,0,1,0
0,0.4686596550493113,0.3212011232268336,0,1,1,0
1,0.6075573001388961,0.6593619744058542,0,1,1,1
0,0.1206410299309233,0.6626205404052735,0,1,1,0
1,0.4507472818545589,0.6063463167535748,0,1,1,0
0,0.5108529061799658,0.6213664162159084,0,1,1,1
1,0.5046813193144684,0.7351172128512768,0,1,1,0
0,0.5370699579791587,0.5160580983276903,1,0,1,1
0,0.6894791426446275,0.6074001758107007,1,0,1,0
1,0.5602843280409464,0.7040874299577897,0,0,1,1
0,0.4992720153045617,0.4489933899439697,0,0,1,1
0,0.6626377922738201,0.5611691879320212,1,0,1,0
1,0.8658959152750668,0.5955124483399089,1,0,0,0
0,0.7352209993926424,0.6486596343168586,1,0,1,1
0,0.6178261467332483,0.6327187350597645,0,1,1,0
0,0.7922644738669378,0.4959619354865312,1,0,1,0
0,0.7180328113294772,0.6379572839777337,1,0,1,1
0,0.722392890081304,0.3958516397138009,1,0,1,0
0,0.6178261467332483,0.4986351630256881,0,0,0,0
1,0.237916079507114,0.6319408881073612,0,1,1,1
0,0.6479768603302221,0.4804840523182321,0,1,1,1
0,0.2896112383820055,0.6783776817300216,1,0,1,0
1,0.5172965813614878,0.6924133027327579,1,0,1,0
1,0.6594055320683344,0.6974847965589323,0,1,1,0
0,0.7151031019926098,0.7390835248858765,0,0,1,0
0,0.6058362647264226,0.5813736443412151,0,1,1,0
0,0.6109913280868294,0.7276292284678266,1,0,1,1
0,0.4794489811780563,0.3617280609566239,1,0,1,1
0,0.6545292802242897,0.3646260100281973,1,0,1,1
0,0.4974688893052743,0.7142391192650477,1,0,1,0
1,0.511891801533151,0.5335182774051274,1,0,1,1
0,0.5495965024956946,0.6389163672145117,1,0,1,0
0,0.7776594425716818,0.6483605582928585,0,1,0,1
0,0.816092360478441,0.1395587312720616,1,0,1,0
0,0.2940831009471255,0.5219537457161209,1,0,0,0
1,0.7738956942145427,0.6924598737204063,0,0,1,1
1,0.3859146722745145,0.6790786308712777,1,0,1,1
1,0.7047064232963289,0.556095625908346,0,1,1,1
0,0.2881295999178507,0.6681368139650165,1,0,1,1
1,0.3910549766342248,0.6218859005783534,1,0,0,1
1,0.5673792367572691,0.4712613223789643,1,0,1,1
0,0.4884551844437485,0.7131801654329751,1,0,1,1
1,0.7490217048463391,0.6268401585795329,0,1,1,1
1,0.7934490301648944,0.5059823818191382,0,1,1,1
1,0.6397075677637197,0.7013098410111747,0,1,1,0
0,0.5108529061799658,0.5044299530458872,1,0,1,1
0,0.7826078370261895,0.6350430512206385,0,1,0,1
1,0.7530673920730478,0.3248545585066205,1,0,1,1
0,0.7435593141311444,0.4903102909479875,0,1,1,1
1,0.7295666907060153,0.5891707507374124,1,0,0,1
0,0.656158373001177,0.6043297593892464,1,0,1,0
0,0.5549467685334323,0.6536120649384386,0,1,1,0
0,0.8235493123400324,0.5267967731731267,1,0,1,1
0,0.524496446363472,0.5867815181899751,0,0,1,0
0,0.8117227926101218,0.4161041788562101,1,0,1,1
1,0.4866531565147181,0.7686048861244515,0,1,0,1
0,0.6512602186973006,0.7208822218531605,1,0,1,1
0,0.4596904504249018,0.7569859158280573,1,0,1,1
1,0.4418358231994413,0.6612405763492044,1,0,1,1
