CODE_GENDER_M,EXT_SOURCE_3,EXT_SOURCE_2,NAME_EDUCATION_TYPE_Secondary_or_secondary_special,NAME_EDUCATION_TYPE_Higher_education,NAME_CONTRACT_TYPE_Cash_loans,NAME_INCOME_TYPE_Working
1,0.2020866016820394,0.5806283658626501,1,0,1,1
0,0.0201679886469343,0.5900967116417342,1,0,1,1
0,0.1841161559307151,0.2448437991412138,1,0,1,1
1,0.4400578303966329,0.1211588600979444,1,0,1,1
1,0.722392890081304,0.0391251566504183,0,1,1,1
0,0.0729831556556651,0.5203602717604611,1,0,1,0
1,0.0646719558983517,0.108357068259653,0,1,1,1
0,0.1519345490496476,0.4926876986124296,1,0,1,1
0,0.3807996826489149,0.0078332092346802,1,0,1,0
1,0.2103502286944494,0.4333279685816849,0,1,1,1
1,0.2622489709189549,0.2777807804776718,1,0,1,1
1,0.1595195404777181,0.0733861935847979,1,0,0,1
1,0.1986200451074864,0.1491052431865988,0,1,1,0
0,0.2151824041847538,0.5586042826144338,1,0,0,1
0,0.5298898341969072,0.2755358466931539,1,0,1,1
1,0.172495466777331,0.5785769621419844,1,0,1,1
1,0.2340151665320674,0.0361272131446764,1,0,1,1
0,0.5495965024956946,0.3174936281275029,1,0,1,1
1,0.3490552510751822,0.4072859767290181,0,1,1,1
0,0.4083588531230431,0.1814199977325238,0,1,1,1
0,0.1735274304649146,0.3936520603176541,1,0,1,1
0,0.5406544504453575,0.045656804579052,0,0,1,1
0,0.0861616623809292,0.5158123379096772,1,0,1,1
0,0.0908147089893367,0.2674612932326992,1,0,1,1
0,0.7295666907060153,0.0336782542932258,1,0,1,1
1,0.5370699579791587,0.3681134804834093,1,0,1,1
1,0.1624419982223248,0.0183094190091987,1,0,1,1
0,0.3217352821966848,0.3631783221794129,1,0,1,0
0,0.4031416766587513,0.0409246076785049,1,0,1,1
1,0.2250868621163805,0.050925114738936,1,0,1,0
0,0.2103502286944494,0.5048672668615811,1,0,1,1
1,0.2067786544915716,0.4140070843220107,1,0,1,1
1,0.7267112092725122,0.0214454243797862,0,0,1,1
0,0.5136937663039473,0.304654332042133,1,0,1,1
0,0.3312508645909018,0.1820443489205356,1,0,1,1
1,0.0621030378372968,0.2513211638505997,1,0,1,1
1,0.5656079814115492,0.4108964143848289,1,0,1,1
0,0.2091546988410069,0.0814480459749286,1,0,1,1
0,0.2622489709189549,0.5912493008496675,1,0,1,1
0,0.0435258067892661,0.0371607912783542,1,0,1,1
0,0.5937175866150576,0.0193283121145909,1,0,1,1
0,0.1446481462546413,0.0511432767870244,0,0,1,1
0,0.3689687382528466,0.0776460309260786,1,0,1,1
0,0.2837118826350007,0.2154488149389144,1,0,1,1
1,0.1500851762342935,0.040281481854488,1,0,1,1
1,0.25533177083329,0.3945919761939621,1,0,0,1
1,0.5108529061799658,0.0600425429493853,1,0,1,1
1,0.1654074596555436,0.5952595875353943,0,0,1,0
1,0.0811859431667211,0.5098956722195366,0,1,1,0
0,0.2301588968634147,0.3344121348929639,1,0,1,1
1,0.3842068130556564,0.4205258850293776,1,0,1,1
0,0.0938365970374978,0.3748733860641769,1,0,1,1
0,0.5108529061799658,0.154108573765186,1,0,1,1
0,0.3842068130556564,0.4089498939370033,1,0,1,1
0,0.6178261467332483,0.2015836822864006,1,0,1,1
1,0.4066174366275036,0.0648383861283921,1,0,1,1
1,0.2707073872651806,0.4709235078291274,1,0,1,1
0,0.1351060157401717,0.0339368280977476,1,0,1,1
0,0.2910973802776635,0.2398928777324656,1,0,1,1
1,0.1198779608955348,0.1110911874115142,0,0,1,1
1,0.5108529061799658,0.4267996641463567,1,0,1,1
1,0.1819591097862785,0.4760097131863237,0,1,1,0
0,0.133429254467317,0.2530325645716864,1,0,1,1
0,0.0005272652387098,0.4974980662343053,0,1,1,1
1,0.1221797440301585,0.5842819651690156,1,0,1,1
1,0.445396241560834,0.0788319430152491,1,0,1,1
0,0.0780157665225257,0.6472030369731567,1,0,1,1
1,0.2970866116472028,0.1962145754810568,1,0,1,1
1,0.475849908720221,0.017590219954949,1,0,1,1
0,0.2392262794694045,0.6077599288079951,1,0,1,1
1,0.4650692149562261,0.0768479732775567,1,0,1,1
0,0.4066174366275036,0.227700602434992,1,0,1,1
1,0.363945238612397,0.5774515299027293,1,0,1,1
0,0.2940831009471255,0.2255084823413865,1,0,1,1
1,0.3706496323299817,0.1839503993747628,1,0,1,1
1,0.0005272652387098,0.6957146962919043,1,0,1,1
0,0.1351060157401717,0.0876259619639282,0,1,1,1
