request_id,male,score_A,score_B,edu_level_2,edu_level_3,cash_loan,employee,class
155094,0,0.7700870700124128,0.6076973714617412,0,1,1,0,0
74108,0,0.4258928980051529,0.7318427244611323,1,0,1,1,0
43271,0,0.6430255641096323,0.5267695171272786,1,0,1,1,0
78768,1,0.2020866016820394,0.5806283658626501,1,0,1,1,1
25279,0,0.375711009574066,0.5441845825346238,0,1,1,1,0
117330,1,0.7076993447402619,0.6858502578599447,0,1,1,1,0
179854,1,0.4382813743111921,0.6850109901296888,1,0,1,0,1
28929,0,0.8193176922872417,0.6171851010475676,1,0,1,0,0
133810,0,0.0795864361598616,0.5801277578958426,1,0,1,1,0
162722,1,0.622922000268356,0.60013911887132,1,0,1,1,0
71389,0,0.6075573001388961,0.186783588063819,1,0,1,1,0
75075,0,0.0201679886469343,0.5900967116417342,1,0,1,1,1
194264,1,0.5108529061799658,0.610534922277132,1,0,1,1,0
51680,1,0.375711009574066,0.2858978721410488,1,0,1,0,0
84628,1,0.7958031328748403,0.4588311704272817,1,0,1,0,0
84227,1,0.8564128001975257,0.3618694395026761,0,0,1,1,0
105857,0,0.6706517530862718,0.6086405681519499,1,0,1,1,0
164810,0,0.5108529061799658,0.5832298939441198,1,0,1,0,0
92124,0,0.1841161559307151,0.2448437991412138,1,0,1,1,1
114505,1,0.2151824041847538,0.5427468043590125,1,0,0,0,0
6348,0,0.6940926425266661,0.5798614098021754,1,0,0,1,0
90741,0,0.7435593141311444,0.6656009534878319,1,0,1,1,0
149690,1,0.7194907850918436,0.6631580756296298,1,0,1,1,1
92216,1,0.6894791426446275,0.2284667597635979,1,0,1,1,0
144185,0,0.5937175866150576,0.3221411043666356,1,0,1,1,1
141574,1,0.5280927512030451,0.6236685266893361,0,1,1,1,0
125240,0,0.6925590674998008,0.6957609870547558,0,1,1,0,0
184382,0,0.4920600938649263,0.5852801912265109,1,0,1,1,0
150714,1,0.5064842396679806,0.6007476868238458,1,0,1,1,0
83643,1,0.375711009574066,0.6248995140748833,0,1,1,0,0
96347,1,0.5460231970049609,0.5903029818845716,0,1,0,0,0
32909,1,0.8150073858059296,0.7704277525898338,1,0,1,1,0
95225,1,0.4365064990977374,0.2354711943552853,0,1,1,0,0
64265,0,0.5460231970049609,0.398736790340824,1,0,1,1,0
153765,0,0.7194907850918436,0.4857098443600888,1,0,1,1,0
101395,0,0.470456116119975,0.4073704422562672,1,0,0,1,0
21659,1,0.4507472818545589,0.7199837382073645,1,0,1,1,0
155418,0,0.5989262182569273,0.1000530879208157,1,0,1,1,0
2964,1,0.4471785780453068,0.5783050125743845,1,0,1,1,0
15637,0,0.7180328113294772,0.0097754836884328,1,0,1,1,0
193056,1,0.5797274227921155,0.4661589471370261,1,0,1,1,0
66970,0,0.5108529061799658,0.4047387743382484,1,0,1,1,0
85167,1,0.7324033228040929,0.6284193589970566,1,0,1,1,0
9475,0,0.5108529061799658,0.5511942707630505,1,0,1,1,0
152328,0,0.656158373001177,0.2620553359511834,1,0,1,1,0
80866,1,0.3154721549257734,0.6424603279668485,1,0,1,1,0
163519,0,0.6971469077844458,0.6111535104579731,0,1,1,0,0
134007,0,0.6313545365850379,0.7313360257819522,1,0,1,0,0
134864,0,0.6397075677637197,0.656719562188265,1,0,1,0,0
104388,1,0.8406665596573005,0.5548159107161412,1,0,1,1,0
34460,1,0.5762088360175724,0.6057563491039856,1,0,1,1,0
65296,0,0.5726825047161584,0.1729161805866733,0,1,1,1,0
9167,1,0.7001838506835805,0.2036327417763144,1,0,1,0,0
56428,0,0.087880699180133,0.4990342442151726,1,0,1,0,0
74016,1,0.2431864804420123,0.5704788269317957,0,1,1,0,1
49103,1,0.5673792367572691,0.6261749586899528,1,0,1,1,0
136528,1,0.2940831009471255,0.6614168953059043,1,0,1,0,0
73998,1,0.0513294138546325,0.5269712080776263,0,1,1,1,0
192508,1,0.0677939106412593,0.6945561409742323,1,0,1,1,0
171950,0,0.6092756673894402,0.1330618459843734,0,1,1,0,0
78690,0,0.3031463744186309,0.5094584844245847,1,0,1,0,0
95401,1,0.5108529061799658,0.7075337372482275,1,0,1,0,0
91779,0,0.7194907850918436,0.6985910205673578,1,0,1,1,0
193534,0,0.6817058776720116,0.6585806071845428,1,0,1,1,0
93745,0,0.6769925032909132,0.5498577372252724,1,0,1,1,0
95184,1,0.2044226253763287,0.556910584966803,0,1,0,1,0
71538,0,0.3409064264152384,0.6119431193453184,1,0,1,1,0
190437,1,0.2276129150623945,0.0328860621103011,0,0,1,1,0
153880,0,0.7503751495159068,0.7535990197878941,0,0,1,1,0
79043,0,0.6347055309763198,0.3174225546193859,1,0,1,0,1
184157,1,0.2822484337007223,0.2779167993316553,1,0,1,0,0
190973,0,0.6817058776720116,0.6293380212653933,0,1,1,1,0
130453,0,0.2881295999178507,0.1733168566563586,0,0,1,0,0
19489,0,0.3344541255096772,0.411097573871057,1,0,1,0,0
136659,0,0.4471785780453068,0.4296481102111682,0,1,0,0,0
180016,1,0.3077366963789207,8.534708470329823e-05,1,0,1,0,0
74429,0,0.3031463744186309,0.6015184423617714,1,0,1,0,0
17149,1,0.4400578303966329,0.1211588600979444,1,0,1,1,1
190797,1,0.7738956942145427,0.5245394469861188,1,0,1,1,0
99029,0,0.7570690154522959,0.7099217308666772,1,0,1,0,0
151786,1,0.5726825047161584,0.5496899429045514,1,0,1,1,0
993,0,0.5531646987710016,0.4239293632690141,1,0,1,0,0
104855,0,0.3392876999089139,0.5732628679621176,1,0,1,0,0
87951,0,0.4686596550493113,0.3212011232268336,0,1,1,0,0
88113,1,0.6075573001388961,0.6593619744058542,0,1,1,1,0
34071,0,0.1206410299309233,0.6626205404052735,0,1,1,0,0
23554,1,0.4507472818545589,0.6063463167535748,0,1,1,0,0
150435,0,0.5108529061799658,0.6213664162159084,0,1,1,1,0
151956,1,0.5046813193144684,0.7351172128512768,0,1,1,0,0
156292,0,0.5370699579791587,0.5160580983276903,1,0,1,1,0
146942,0,0.6894791426446275,0.6074001758107007,1,0,1,0,0
20203,1,0.5602843280409464,0.7040874299577897,0,0,1,1,0
98831,0,0.4992720153045617,0.4489933899439697,0,0,1,1,0
169659,0,0.6626377922738201,0.5611691879320212,1,0,1,0,0
170288,1,0.8658959152750668,0.5955124483399089,1,0,0,0,0
82083,0,0.7352209993926424,0.6486596343168586,1,0,1,1,0
107789,1,0.5154953751603267,0.2967729747434609,1,0,1,1,0
42058,0,0.6178261467332483,0.6327187350597645,0,1,1,0,0
9192,0,0.7922644738669378,0.4959619354865312,1,0,1,0,0
26602,0,0.7180328113294772,0.6379572839777337,1,0,1,1,0
68835,0,0.722392890081304,0.3958516397138009,1,0,1,0,0
182248,0,0.6178261467332483,0.4986351630256881,0,0,0,0,0
8732,1,0.237916079507114,0.6319408881073612,0,1,1,1,0
84358,0,0.3457848024695955,0.2386152510916297,1,0,1,1,0
143839,0,0.6479768603302221,0.4804840523182321,0,1,1,1,0
93625,1,0.722392890081304,0.0391251566504183,0,1,1,1,1
161626,0,0.2896112383820055,0.6783776817300216,1,0,1,0,0
76006,0,0.0729831556556651,0.5203602717604611,1,0,1,0,1
55771,1,0.5172965813614878,0.6924133027327579,1,0,1,0,0
157962,1,0.6594055320683344,0.6974847965589323,0,1,1,0,0
80633,0,0.7151031019926098,0.7390835248858765,0,0,1,0,0
11001,0,0.6058362647264226,0.5813736443412151,0,1,1,0,0
126891,0,0.6109913280868294,0.7276292284678266,1,0,1,1,0
64570,0,0.4794489811780563,0.3617280609566239,1,0,1,1,0
175998,1,0.7309873696832169,0.6551057141199036,1,0,1,0,1
121468,0,0.6545292802242897,0.3646260100281973,1,0,1,1,0
3003,0,0.4974688893052743,0.7142391192650477,1,0,1,0,0
45790,0,0.2471909382666521,0.5330393218035127,0,0,1,1,0
9786,1,0.511891801533151,0.5335182774051274,1,0,1,1,0
112968,0,0.5495965024956946,0.6389163672145117,1,0,1,0,0
134177,0,0.7776594425716818,0.6483605582928585,0,1,0,1,0
170246,0,0.816092360478441,0.1395587312720616,1,0,1,0,0
84407,0,0.2940831009471255,0.5219537457161209,1,0,0,0,0
193077,1,0.7738956942145427,0.6924598737204063,0,0,1,1,0
10181,1,0.3859146722745145,0.6790786308712777,1,0,1,1,0
101300,1,0.22009464485041,0.6487244187539026,0,1,1,0,0
115801,1,0.7047064232963289,0.556095625908346,0,1,1,1,0
136771,1,0.0646719558983517,0.108357068259653,0,1,1,1,1
129154,0,0.2881295999178507,0.6681368139650165,1,0,1,1,0
152346,1,0.3910549766342248,0.6218859005783534,1,0,0,1,0
84140,1,0.5673792367572691,0.4712613223789643,1,0,1,1,0
3757,0,0.4884551844437485,0.7131801654329751,1,0,1,1,0
140131,1,0.7490217048463391,0.6268401585795329,0,1,1,1,0
61767,0,0.2580842039460289,0.6144016636920214,0,0,1,1,0
74147,1,0.7934490301648944,0.5059823818191382,0,1,1,1,0
30499,1,0.3108182544189319,0.2858978721410488,1,0,1,1,0
101355,1,0.6397075677637197,0.7013098410111747,0,1,1,0,0
92727,0,0.5108529061799658,0.5044299530458872,1,0,1,1,0
176003,0,0.7826078370261895,0.6350430512206385,0,1,0,1,0
167224,1,0.5108529061799658,0.060278699264338,1,0,1,1,0
176111,0,0.1519345490496476,0.4926876986124296,1,0,1,1,1
57930,1,0.7530673920730478,0.3248545585066205,1,0,1,1,0
157743,0,0.7435593141311444,0.4903102909479875,0,1,1,1,0
140655,1,0.7295666907060153,0.5891707507374124,1,0,0,1,0
191501,0,0.656158373001177,0.6043297593892464,1,0,1,0,0
40105,1,0.7407990879702335,0.0036371977751832,1,0,1,0,0
118621,0,0.5549467685334323,0.6536120649384386,0,1,1,0,0
53786,0,0.8235493123400324,0.5267967731731267,1,0,1,1,0
26856,0,0.524496446363472,0.5867815181899751,0,0,1,0,0
37352,0,0.6041125998015721,0.4666922871539335,1,0,1,1,1
133390,0,0.3740208032583212,0.4849724479473514,1,0,1,1,0
24200,0,0.8117227926101218,0.4161041788562101,1,0,1,1,0
15425,0,0.3807996826489149,0.0078332092346802,1,0,1,0,1
17815,1,0.4866531565147181,0.7686048861244515,0,1,0,1,0
193910,0,0.6512602186973006,0.7208822218531605,1,0,1,1,0
30457,0,0.2837118826350007,0.5542757273570009,1,0,1,0,0
10779,0,0.4596904504249018,0.7569859158280573,1,0,1,1,0
149408,0,0.2881295999178507,0.5575202548916501,1,0,1,0,0
134226,1,0.4418358231994413,0.6612405763492044,1,0,1,1,0
92024,0,0.6769925032909132,0.4386891307395157,1,0,1,1,0
103761,1,0.4031416766587513,0.7136496115913721,1,0,1,0,0
175111,0,0.5585066276769286,0.7029334431794494,0,1,1,1,0
20147,0,0.2678689358444539,0.2622583692422573,1,0,1,1,0
9647,0,0.7076993447402619,0.6630017452000453,0,1,1,0,0
32282,0,0.6075573001388961,0.2335359385755141,1,0,0,1,0
17486,0,0.4170996682522097,0.0531810191410732,0,1,1,1,0
183440,1,0.5172965813614878,0.3379697128915234,0,1,1,1,0
70759,0,0.7421816117614419,0.6595829590896434,1,0,0,1,0
